"EnglishName","Number","Waste","Density","Energy, kJ","Energy, kcal","Protein Conversion Factor (NCF)","total-N","Protein, total","Protein, declaration","Carbohydrate best. v / Diff.","Carbohydrate available","carbohydrate, declaration","Added sugar","dietary Fiber","Fat, total","Fat Acid Conversion Factor (FCF)","Alcohol","Ash","solids","Water","Vitamin A","retinol","ß-carotene","D vitamin","D3 cholecalciferol","25-hydroxycholecalciferol","Vitamin E","alpha-tocopherol","gamma-tocopherol","delta-tocopherol","alpha-tokotrienol","Vitamin K1","Vitamin B1","(Thiamine)","(HET, hydroxyethylthiazole)","Vitamin B2, riboflavin","niacin","niacin","Vitamin B6","pantothenic acid","biotin","folate","Free folate","Vitamin B12","Vitamin C","L-ascorbic acid","L-dehydroascorbic","Chloride, Cl","Sodium, Na","Potassium, K","Calcium, Ca","Magnesium, Mg","Phosphor, P","Iron, Fe","Copper, Cu","Zinc, Zn","Iodine, I","Manganese, Mn","Chrom, Cr","Selen, Se","Molybdenum, Mo","Cobolt, Co","Nickel, Ni","Mercury, Hg","Arsen, As","Cadmium, Cd","Lead, Pb","Tin, Sn","L-lactic acid","D-lactic acid","Lactic acid, total","citric acid","Oxalic acid, total","malic acid","Acetic acid","fumaric","benzoic acid","sorbic acid","propionic acid","Organic acids, tot.","Histamine","tyramine","phenylethylamine","putrescin","cadaverine","spermine","spermidine","serotonin","fructose","galactose","glucose","Monosaccharides, total","lactose","maltose","sucrose","Disaccharides, total","raffinose","Other sugars","Sugars, in total","sorbitol","mannitol","inositol","maltitol","Sugar alcohols, total","Starch","(A) Hexoses","(B) the pentoses","(C) UronicAcids","cellulose","lignin","Crude fibers","Neutr.Det.Fibre (NDF)","C4: 0","C6: 0","C8: 0","C10: 0","C12: 0","C14: 0","C15: 0","C16: 0","C17: 0","C18: 0","C20: 0","C22: 0","C24: 0","Others met.","C14: 1 n-5","C15: 1","C16: 1 n-7","C17: 1 n-7","C18: 1 n-9","C18: 1 n-7","C20: 1 n-9","C20: 1 n-11","C22: 1 n-9","C22: 1 n-11","C 24: 1 n-9","Other mono","C18: 2 n-6","C18: 2, conj-A, undifferentiated","C18: 3, n-3","C18: 3 n-6","C18: 4, n-3","C20: 2 n-6","C20: 3 n-3","C20: 3 n-6","C20: 4, n-3","C20: 4, n-6","C20: 5, n-3","C22: 5, n-3","C22: 6, n-3","Other polyunsaturated","C16: 1 trans","C18: 1, trans n-9","C20: 1 trans","C22: 1 trans","C18: 2, trans, undifferentiated","Other fatty acids","Some saturated","Total mono-set","Some polyunsaturated","Total trans fatty acids","Fatty acids, total","Sum of n-3 fatty acids","Sum of n-6 fatty acids","cholesterol","isoleucine","leucine","lysine","methionine","cystine","phenylalanine","tyrosine","threonine","tryptophan","Valin","arginine","histidine","alanine","aspartic acid","glutamic acid","glycine","proline","Serin"
"Yogurt plain, whole milk","12","0","","260","62","6.38","0.594","3.8","3.7","4","4","4.1","0","0","3.6","0.945","0","0.8","12.2","87.8","29.9","28.6","16","0.1","0.1","","0.02","0.02","","","","0","0.041","","","0.174","0.967","0.1","0.042","0.28","1.8","21","126","0.22","0.2","0.2","","91.4","46.5","146","135","11.7","98.9","0.053","0.009","0.491","12","0.005","0.052","1.78","0","","0.35","","","0.002","0.089","","0.6","0.45","1.04","0.2","","","","","2.25","","","1.24","0.021","0.125","","","","","","0.003","0","1.13","0","1.13","2.5","0","0","2.5","","0","3.63","","","","","","0","0","0","0","0","0","","","0.122","0.077","0.05","0.111","0.139","0.396","","1.06","","0.362","","","","","0.05","","0.077","","0.796","","","0.041","","","","","0.075","","0.027","","","","","","","","","","","","","","","","","","2.31","0.964","0.102","0","3.38","0.027","0.075","15","202","362","339","95","25","166","172","160","52","255","131","101","125","333","737","77","356","208"
"Celery, raw","13","32","","98","23","6.25","0.119","0.7","0.7","5.5","3.9","3.9","0","1.6","0.2","0.8","0","1.1","7.5","92.5","1.42","0","17","0","0","","0.2","0.2","","","","","0.035","","","0.075","0.583","0.45","0.09","0.4","0.1","28","6","0","9","9","","","62","318","56.7","8","30.1","0.4","0.11","0.1","1.1","","1.6","0.046","","","1.75","0.07","0.7","1.58","0.9","","","","","","","","","","","","","","","","","","","","","","0.81","","0.94","1.75","","0","0.04","0.04","0","0.36","2.15","","","","","","0.1","","","","","","","","0","0","0","0","0","0.001","","0.032","","0.003","","","","","","","0.001","","0.027","","","0","0","0","","","0.07","","0","","0","","","","","0","0","0","0","","","","","","","","0.036","0.028","0.07","0","0.134","0","0.07","0","29","51","15","13","4","33","10","25","8","36","30","11","25","131","98","23","19","21"
"Cauliflower, all varieties, raw","14","34","","116","28","6.25","0.389","2.4","2.4","4.7","2.5","2.5","0","2.2","0.4","0.8","0","0.7","8.3","91.7","3.33","0","40","0","0","","0.2","0.2","","","","16","0.059","","","0.073","1.07","0.6","0.145","0.6","1.5","165","32","0","76.8","68.1","8.7","","17","286","24.5","13.2","48.1","0.402","0.042","0.261","0.8","0.23","1.1","0.5","","","8.85","0.07","0.18","0.74","0.5","","","","","","","","","","1.5","","","","","","","","","","","0.01","1.31","","0.51","1.82","0","0","0.06","0.06","","","1.88","","","","","","0.01","0.39","0.54","0.5","1.12","0.01","","","","","","","","","","0.069","","0.007","","","","","","","","","0.026","","","","","","","","0.03","","0.187","","","","","","","","","","","","","","","","","","0.076","0.026","0.217","0","0.319","0.187","0.03","0","86","128","117","30","14","82","51","82","28","140","93","43","183","198","268","86","105","121"
"Plum, raw","15","8","","199","48","6.25","0.086","0.5","0.5","12.1","10.5","10.5","0","1.6","0.3","0.8","0","0.6","13.5","86.5","6.67","0","80","0","0","","0.4","0.4","","","","","0.02","","","0.025","0.467","0.4","0.045","0.15","0","3","1","0","5","5","","","3","140","8.57","5","19.6","0.14","0.063","0.091","0.4","0.1","0.3","0.114","0","","6.67","0.04","0.02","0.07","0.5","","","","","","","","","","0.6","","","","0.01","0.03","","","","","","0.47","2.4","","3.49","5.89","0","0","2.93","2.93","","","8.82","1.66","","","","1.66","0","0.63","0.36","1.08","0.43","0.36","","","","","","","","","","0.044","","0.014","","","","","","","","","0.017","","","","","","","","0.11","","0.055","","","","","","","","","","","","","","","","","","0.058","0.017","0.165","0","0.24","0.055","0.11","0","15","23","21","3","2","16","9","15","4","19","12","9","19","95","22","15","18","28"
"Blueberries, raw","16","2","","219","52","6.25","0.112","0.7","0.7","11.9","10.4","10.4","0","1.5","0.5","0.8","0","0.2","13.3","86.7","1.08","0","13","0","0","","","","","","","","0.03","","","0.03","0.583","0.4","0.06","0.16","","6","2","0","44","44","","","3","103","15","7","9","0.8","0.11","0.1","1.2","3.3","1","0","0","","","","","","","","","","","","","","","","160","","","","0.01","0","","","","","","0.003","4.73","","4.73","9.47","0","0","0.033","0.033","","","9.5","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","11","","","","","","","","",""
"Broccoli, raw","17","17","","160","38","6.25","0.848","5.3","5.3","4.5","1.3","1.3","0","3.2","0.6","0.8","0","1.1","11.5","88.5","44.4","0","533","0","0","","1.3","1.3","","","","260","0.085","","","0.115","1.98","1","0.18","1","0.5","239","47","0","121","114","7.7","","8","393","44.2","20.7","86.9","0.71","0.07","0.39","0.8","0.58","1","0.6","0","","8.6","","","","","","","","","","","","","","1.5","","","","0.01","","","","","","","0.02","0.8","","0.82","1.62","","0","0.04","0.04","0","0","1.66","","","","","","0","","","","0.83","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","204","280","271","76","59","195","","229","59","254","331","119","","","","","",""
"Blackberry, raw","18","4","","153","37","6.25","0.224","1.4","1.4","7.7","3.4","3.4","0","4.3","1","0.8","0","0.4","10.5","89.5","16.7","0","200","0","0","","5.5","5.5","","","","","0.017","","","0.05","0.7","0.5","0.05","0.25","0.4","34","","0","15","15","","","2","266","27","23","37","0.55","0.12","0.53","0.4","0.646","1","0.1","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","2.33","","2.17","4.5","","0","0","0","","","4.5","0","","","","0","0","","","","","","4.1","4.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","12","","","","","","","","",""
"Beans, brown, dried, raw","19","0","","1313","314","6.25","3.024","18.9","18.9","63.4","45.6","45.6","0","17.8","2","0.8","0","3.4","87.7","12.3","1.08","0","13","0","0","","0.34","0.34","","","","170","0.35","","","0.14","5.93","2","0.415","0.5","0.5","140","24","0","0","0","","","8","1327","77.3","131","477","5","0.5","2","1.9","2","11.4","8.8","","","273","0.1","0","1.59","6.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","877","1330","1360","172","124","937","423","786","236","1910","907","484","726","227","2480","696","696","1180"
"Beans, wax, raw","20","12","","148","35","6.25","0.336","2.1","2.1","7.1","5.3","5.3","0","1.8","0.2","0.8","0","0.6","10","90","4.58","0","55","0","0","","0.45","0.45","","","","","0.075","","","0.125","1.05","0.6","0.1","0.05","0.7","100","8","0","21","21","","","6","209","45","27","38","1.1","0.07","0.4","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","81","118","111","28","7","57","47","91","27","104","77","33","84","336","218","64","60","165"
"Lemon, raw","21","35","","187","45","6.25","0.08","0.5","0.5","9.9","8.7","8.7","0","1.2","1.1","0.8","0","0.3","11.8","88.2","1.67","0","20","0","0","","0.8","0.8","","","","","0.045","","","0.03","0.233","0.2","0.06","0.23","0.5","32","7","0","49","49","","","3","175","35.1","9","20.7","0.08","0.053","0.13","0.3","0.04","0.2","0.12","","","6.65","0.13","0.04","0.035","0.4","","","","","4.8","","","","","","","","4.8","","","","","","","","0.003","0.957","","1.07","2.03","","","1.09","1.09","","","3.11","0","","","","0","0","","","","","","0.4","","0","0","0","0","0","0.007","","0.223","","0.013","","","","","","","0.007","","0.063","","","0","0","","","","0.401","","0.166","","0","","","","","0","0","0","0","","","","","","","","0.243","0.07","0.567","0","0.88","0.166","0.401","0","14","12","25","7","6","18","10","7","2","18","30","7","29","69","57","48","26","14"
"Dill, raw","22","52","","201","48","6.25","0.554","3.5","3.5","7","4.9","4.9","0","2.1","1.1","0.8","0","2.5","14.1","86","499","0","5982","0","0","","1.7","1.7","","","","","0.19","","","0.43","3.5","2.4","0.3","0.3","0.4","116","41","0","70","70","","","27","647","202","28","51.9","5.5","0.22","1.8","3.9","2.7","20.3","2.7","0","","5.7","0","2","8.2","16.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001","0.001","","0.046","","0.008","","","","","","","0.004","","0.747","","","","","","","","0.077","","0.012","","","","","","","","","","","","","","","","","","0.056","0.751","0.089","0","0.896","0.012","0.077","0","","","","","","","","","66","","","","","","","","",""
"Kale, raw","23","46","","252","60","6.25","0.745","4.7","4.7","10.9","4.7","4.7","0","6.2","1.2","0.8","0","1.8","18.5","81.5","421","0","5050","0","0","","5.4","5.4","","","","250","0.15","","","0.29","3.98","2.8","0.35","1","36","60","44","0","169","169","","","35","264","219","20","73.9","2","0.091","0.62","1.4","0.5","8.3","2.1","2","","13.5","0.88","1.94","2.96","8.03","","","","","","","","","","","","","","","","","","","","","","0.92","","0.723","1.64","","0","0.283","0.283","0.12","0","1.93","","","","","","0.08","","","","","","","","","","","","","","","0.148","","","","","","","","","0.033","","","","","","","","","","0.197","","0.543","","","","","","","0","","","","","","","","","","","0.148","0.033","0.74","0","0.921","0.543","0.197","0","179","298","253","54","22","201","112","179","71","253","216","89","276","350","410","201","268","186"
